ID,Yield
ID_F9XXEXN2ADR2,600.50867
ID_SO3VW2X4QO93,402.34177
ID_UKUQ7JM8E894,563.5326
ID_QUISMWEZR2H4,307.38016
ID_25JGI455VKCZ,563.7421
ID_KQEAOXF3RPV6,411.26736
ID_FSNZCPW9HTD2,1088.2142
ID_U2TOPOA0T40S,326.38892
ID_XVQLSUKOT04J,1350.507
ID_EAZAU6IW58PK,138.48734
ID_WI17R25TC2VU,413.2789
ID_OPR9MJWG40U7,1576.2917
ID_P9K9GAHC6FX6,686.7707
ID_SCAOUCCTJ75Z,16.724037
ID_MUP1OS8GZR5E,810.70685
ID_WVBSZ9VBC9HE,661.64636
ID_9MGH1WIKFBNB,452.1984
ID_3M2O3EPOM18C,2068.7688
ID_K9MOR4N1FWIB,550.59796
ID_VJPUPMSQARO5,1336.4238
ID_7WIMK3DXIU3Q,1263.3026
ID_6QXVH0EUS60J,1049.219
ID_CA9GH6Q53A1Q,222.52545
ID_94KO4EQ6TA3S,265.0287
ID_2WH3AXUWRS2A,271.13364
ID_LBS8TBC6QEF1,307.30905
ID_Y3YARETW8RAP,1285.8302
ID_BY9JJAIKBRGP,434.07318
ID_0U5AM482W1DE,413.08408
ID_G0I28ORJC3OP,378.41373
ID_Q34ED4EMSA3R,700.4787
ID_LN3LXEG984XM,651.4757
ID_0JTIPPYRJND0,776.7009
ID_2MRD9I2X8UXB,201.20932
ID_KH1FHLUW2T4X,255.266
ID_RFM5MWSIU1JX,328.65933
ID_IAH2UTMDVU8F,215.83116
ID_9SNP46T1GSJI,764.323
ID_DSQ9ISYFW4DB,402.10587
ID_B8XYLC3NM6XD,27.33664
ID_HOG9LK4CTN8K,429.798
ID_L3RTRS1QIY6D,373.90768
ID_03QW4RBYQEBK,409.08533
ID_ZJSYN3ZHXK5K,867.43915
ID_UPRM76SZ7IJJ,657.1606
ID_YB866N9RY5TU,555.1942
ID_4H0KNHPKF9BK,193.66342
ID_TOIT03A3WTTD,302.9749
ID_4P7NKCB6LMJ5,40.443405
ID_1TIMGZJLRLWF,642.0109
ID_25E6065LQDON,657.328
ID_SOB9B3H12POE,913.63916
ID_A8RF0GQGJF5H,897.4667
ID_GT36LGF8SM8K,563.849
ID_E9OHGDA3U6DG,393.4263
ID_HXWHLMRE99CE,1298.1093
ID_3VL9DLFRG5A3,276.73575
ID_OKPI3DR2ZQPJ,317.2936
